symptom_text,department,label
stress in the morning,Psychiatry,9
eye pain sudden onset,Ophthalmology,10
acid reflux since 1 week,Gastroenterology,4
child rash sudden onset,Pediatrics,8
blurry vision since 2 days,Ophthalmology,10
psoriasis patches after eating,Dermatology,3
heart racing with fever,Cardiology,0
knee pain since 2 days,Orthopedics,2
panic attacks worsening at night,Psychiatry,9
knee pain since 2 days,Orthopedics,2
diabetes symptoms worsening at night,Endocrinology,6
numbness in face chronic,Neurology,1
irregular periods with fever,Gynecology,7
weakness on one side sudden onset,Neurology,1
back pain since 2 days,Orthopedics,2
chest tightness at rest with fever,Cardiology,0
sudden weight gain since 2 days,Endocrinology,6
chest tightness at rest after eating,Cardiology,0
general checkup mild to moderate,General Medicine,13
acne worsening at night,Dermatology,3
pregnancy symptoms with fever,Gynecology,7
breathlessness on exertion since 2 days,Cardiology,0
slurred speech mild to moderate,Neurology,1
thyroid swelling,Endocrinology,6
loss of appetite with fever,General Medicine,13
cough for 3 weeks worsening at night,Pulmonology,5
fainting after eating,Neurology,1
thyroid swelling mild to moderate,Endocrinology,6
irregular periods worsening at night,Gynecology,7
bloating sudden onset,Gastroenterology,4
menstrual cramps,Gynecology,7
skin rash with fever,Dermatology,3
severe headache,Neurology,1
increased thirst worsening at night,Endocrinology,6
child ear pain worsening at night,Pediatrics,8
hair thinning mild to moderate,Endocrinology,6
vomiting after eating,Gastroenterology,4
chest congestion worsening at night,Pulmonology,5
dizziness mild to moderate,Neurology,1
vaginal discharge worsening at night,Gynecology,7
child fever since 1 week,Pediatrics,8
vomiting after eating,Gastroenterology,4
vaccination sudden onset,Pediatrics,8
skin rash with fever,Dermatology,3
blood in urine sudden onset,Nephrology,12
child vomiting since 2 days,Pediatrics,8
blurry vision worsening at night,Ophthalmology,10
skin rash chronic,Dermatology,3
chest pain,Cardiology,0
tonsillitis mild to moderate,ENT,11
diabetes symptoms since 2 days,Endocrinology,6
suicidal thoughts after eating,Psychiatry,9
hair loss since 2 days,Dermatology,3
blurry vision chronic,Ophthalmology,10
cough for 3 weeks,Pulmonology,5
bone pain mild to moderate,Orthopedics,2
menstrual cramps worsening at night,Gynecology,7
thyroid swelling mild to moderate,Endocrinology,6
palpitations since 1 week,Cardiology,0
insomnia with fever,Psychiatry,9
frequent UTI chronic,Nephrology,12
dialysis related after eating,Nephrology,12
hair loss mild to moderate,Dermatology,3
swollen wrist since 1 week,Orthopedics,2
chest congestion since 1 week,Pulmonology,5
bloating,Gastroenterology,4
PCOD symptoms since 2 days,Gynecology,7
swollen face in morning chronic,Nephrology,12
nail discoloration with fever,Dermatology,3
vaccination in the morning,Pediatrics,8
ear pain after eating,ENT,11
stomach pain since 1 week,Gastroenterology,4
depression worsening at night,Psychiatry,9
body ache worsening at night,General Medicine,13
panic attacks mild to moderate,Psychiatry,9
child vomiting,Pediatrics,8
fever sudden onset,General Medicine,13
dialysis related,Nephrology,12
tonsillitis after eating,ENT,11
acne since 1 week,Dermatology,3
hearing loss,ENT,11
weakness worsening at night,General Medicine,13
dialysis related after eating,Nephrology,12
child ear pain since 2 days,Pediatrics,8
weakness on one side mild to moderate,Neurology,1
swollen face in morning worsening at night,Nephrology,12
cough for 3 weeks in the morning,Pulmonology,5
blurry vision since 2 days,Ophthalmology,10
psoriasis patches mild to moderate,Dermatology,3
fever after eating,General Medicine,13
fainting chronic,Neurology,1
delayed milestones after eating,Pediatrics,8
mood swings since 1 week,Psychiatry,9
chest pressure sudden onset,Cardiology,0
acne since 1 week,Dermatology,3
watery eyes chronic,Ophthalmology,10
joint swelling in the morning,Orthopedics,2
malaria symptoms worsening at night,General Medicine,13
cataract since 1 week,Ophthalmology,10
smoking related cough,Pulmonology,5
diarrhea since 1 week,Gastroenterology,4
schizophrenia symptoms chronic,Psychiatry,9
neck stiffness in the morning,Orthopedics,2
vertigo mild to moderate,ENT,11
depression chronic,Psychiatry,9
chest tightness at rest worsening at night,Cardiology,0
pelvic pain chronic,Gynecology,7
phobia since 1 week,Psychiatry,9
hair loss in the morning,Dermatology,3
stomach pain chronic,Gastroenterology,4
chest pressure with fever,Cardiology,0
anxiety after eating,Psychiatry,9
wheezing with fever,Pulmonology,5
smoking related cough mild to moderate,Pulmonology,5
heart racing worsening at night,Cardiology,0
general checkup since 2 days,General Medicine,13
blurry vision with fever,Ophthalmology,10
child fever in the morning,Pediatrics,8
stress with fever,Psychiatry,9
cough for 3 weeks since 2 days,Pulmonology,5
cough for 3 weeks with fever,Pulmonology,5
fever since 2 days,General Medicine,13
eczema flare in the morning,Dermatology,3
fatigue sudden onset,Endocrinology,6
psoriasis patches chronic,Dermatology,3
confusion since 2 days,Neurology,1
chest pressure after eating,Cardiology,0
tingling in hands mild to moderate,Neurology,1
decreased urine output,Nephrology,12
newborn jaundice in the morning,Pediatrics,8
kidney pain in the morning,Nephrology,12
child vomiting worsening at night,Pediatrics,8
vomiting worsening at night,Gastroenterology,4
acid reflux with fever,Gastroenterology,4
panic attacks worsening at night,Psychiatry,9
boil on skin since 1 week,Dermatology,3
severe headache in the morning,Neurology,1
mood swings mild to moderate,Psychiatry,9
hair loss,Dermatology,3
suicidal thoughts since 2 days,Psychiatry,9
memory loss mild to moderate,Neurology,1
vertigo in the morning,ENT,11
child vomiting sudden onset,Pediatrics,8
nail discoloration since 2 days,Dermatology,3
chest congestion since 2 days,Pulmonology,5
seizures in the morning,Neurology,1
chest pain sudden onset,Cardiology,0
acid reflux mild to moderate,Gastroenterology,4
shoulder stiffness in the morning,Orthopedics,2
depression after eating,Psychiatry,9
menopause symptoms worsening at night,Gynecology,7
boil on skin chronic,Dermatology,3
TB symptoms mild to moderate,Pulmonology,5
eye pain sudden onset,Ophthalmology,10
frequent chest infections,Pulmonology,5
loss of appetite chronic,General Medicine,13
cataract mild to moderate,Ophthalmology,10
nail discoloration since 2 days,Dermatology,3
fatigue since 1 week,Endocrinology,6
hip pain while walking after eating,Orthopedics,2
floaters in vision sudden onset,Ophthalmology,10
child fever,Pediatrics,8
health certificate mild to moderate,General Medicine,13
swollen wrist mild to moderate,Orthopedics,2
squinting sudden onset,Ophthalmology,10
foamy urine since 2 days,Nephrology,12
child rash with fever,Pediatrics,8
loss of appetite since 1 week,General Medicine,13
glaucoma symptoms mild to moderate,Ophthalmology,10
hip pain while walking chronic,Orthopedics,2
palpitations sudden onset,Cardiology,0
mood swings chronic,Psychiatry,9
panic attacks mild to moderate,Psychiatry,9
yellow eyes worsening at night,Gastroenterology,4
sudden weight gain after eating,Endocrinology,6
blood in urine,Nephrology,12
health certificate mild to moderate,General Medicine,13
body ache after eating,General Medicine,13
thyroid swelling worsening at night,Endocrinology,6
irregular heartbeat mild to moderate,Cardiology,0
cold intolerance chronic,Endocrinology,6
swollen face in morning mild to moderate,Nephrology,12
child rash mild to moderate,Pediatrics,8
snoring in the morning,ENT,11
general checkup sudden onset,General Medicine,13
delayed milestones chronic,Pediatrics,8
hair thinning,Endocrinology,6
depression since 2 days,Psychiatry,9
pregnancy symptoms mild to moderate,Gynecology,7
heart racing since 1 week,Cardiology,0
ear pain worsening at night,ENT,11
snoring after eating,ENT,11
vertigo since 2 days,ENT,11
child vomiting chronic,Pediatrics,8
stomach pain worsening at night,Gastroenterology,4
skin rash worsening at night,Dermatology,3
eye pain with fever,Ophthalmology,10
phobia since 1 week,Psychiatry,9
nail discoloration after eating,Dermatology,3
skin rash chronic,Dermatology,3
fever worsening at night,General Medicine,13
menstrual cramps,Gynecology,7
dizziness,Neurology,1
breast lump after eating,Gynecology,7
loss of appetite with fever,General Medicine,13
phobia after eating,Psychiatry,9
child fever mild to moderate,Pediatrics,8
pregnancy symptoms with fever,Gynecology,7
cough for 3 weeks mild to moderate,Pulmonology,5
asthma attack since 2 days,Pulmonology,5
childhood asthma since 2 days,Pediatrics,8
child vomiting with fever,Pediatrics,8
severe headache since 1 week,Neurology,1
numbness in face mild to moderate,Neurology,1
floaters in vision worsening at night,Ophthalmology,10
red eye since 2 days,Ophthalmology,10
dizziness chronic,Neurology,1
cold and cough mild to moderate,General Medicine,13
sinusitis mild to moderate,ENT,11
fatigue worsening at night,Endocrinology,6
asthma attack,Pulmonology,5
chest pain in the morning,Cardiology,0
severe headache after eating,Neurology,1
cataract,Ophthalmology,10
dizziness in the morning,Neurology,1
cold and cough in the morning,General Medicine,13
child ear pain in the morning,Pediatrics,8
red eye with fever,Ophthalmology,10
delayed milestones chronic,Pediatrics,8
swollen face in morning with fever,Nephrology,12
constipation worsening at night,Gastroenterology,4
snoring since 1 week,ENT,11
cold and cough worsening at night,General Medicine,13
general checkup since 2 days,General Medicine,13
fainting,Neurology,1
newborn jaundice after eating,Pediatrics,8
tonsillitis chronic,ENT,11
menopause symptoms,Gynecology,7
swollen ankles after eating,Cardiology,0
foot pain in morning chronic,Orthopedics,2
coughing blood since 2 days,Pulmonology,5
asthma attack,Pulmonology,5
schizophrenia symptoms mild to moderate,Psychiatry,9
suicidal thoughts in the morning,Psychiatry,9
swollen wrist with fever,Orthopedics,2
breathlessness at night with fever,Pulmonology,5
pelvic pain sudden onset,Gynecology,7
back pain worsening at night,Orthopedics,2
foot pain in morning with fever,Orthopedics,2
phobia sudden onset,Psychiatry,9
fatigue sudden onset,Endocrinology,6
chest pain chronic,Cardiology,0
hip pain while walking mild to moderate,Orthopedics,2
fever worsening at night,General Medicine,13
TB symptoms,Pulmonology,5
breathlessness on exertion mild to moderate,Cardiology,0
watery eyes,Ophthalmology,10
fainting after eating,Neurology,1
sinusitis with fever,ENT,11
nail discoloration since 1 week,Dermatology,3
decreased urine output in the morning,Nephrology,12
eye pain in the morning,Ophthalmology,10
floaters in vision with fever,Ophthalmology,10
schizophrenia symptoms worsening at night,Psychiatry,9
vomiting mild to moderate,Gastroenterology,4
foamy urine worsening at night,Nephrology,12
bloating worsening at night,Gastroenterology,4
smoking related cough in the morning,Pulmonology,5
diabetes symptoms mild to moderate,Endocrinology,6
irregular periods after eating,Gynecology,7
typhoid symptoms in the morning,General Medicine,13
shortness of breath chronic,Cardiology,0
seizures since 1 week,Neurology,1
frequent urination,Endocrinology,6
pregnancy symptoms with fever,Gynecology,7
floaters in vision sudden onset,Ophthalmology,10
snoring sudden onset,ENT,11
bone pain since 1 week,Orthopedics,2
irregular periods chronic,Gynecology,7
body ache mild to moderate,General Medicine,13
confusion chronic,Neurology,1
vaginal discharge since 2 days,Gynecology,7
delayed milestones since 1 week,Pediatrics,8
numbness in face,Neurology,1
thyroid swelling,Endocrinology,6
foot pain in morning sudden onset,Orthopedics,2
heart racing in the morning,Cardiology,0
delayed milestones since 2 days,Pediatrics,8
eczema flare with fever,Dermatology,3
vision blurring suddenly mild to moderate,Neurology,1
floaters in vision since 1 week,Ophthalmology,10
body ache since 2 days,General Medicine,13
eye pain since 1 week,Ophthalmology,10
cold intolerance since 2 days,Endocrinology,6
difficulty swallowing after eating,Gastroenterology,4
acid reflux mild to moderate,Gastroenterology,4
weakness on one side mild to moderate,Neurology,1
eye pain mild to moderate,Ophthalmology,10
dialysis related since 2 days,Nephrology,12
frequent UTI,Nephrology,12
increased thirst mild to moderate,Endocrinology,6
childhood asthma mild to moderate,Pediatrics,8
foot pain in morning since 2 days,Orthopedics,2
dengue symptoms since 2 days,General Medicine,13
fatigue after eating,General Medicine,13
nausea worsening at night,Gastroenterology,4
slurred speech sudden onset,Neurology,1
vaccination sudden onset,Pediatrics,8
fatigue sudden onset,Endocrinology,6
delayed milestones worsening at night,Pediatrics,8
irregular periods chronic,Gynecology,7
tonsillitis sudden onset,ENT,11
snoring,ENT,11
wheezing since 1 week,Pulmonology,5
sinusitis after eating,ENT,11
skin rash sudden onset,Dermatology,3
bone pain worsening at night,Orthopedics,2
ear pain worsening at night,ENT,11
anxiety since 1 week,Psychiatry,9
irregular heartbeat since 2 days,Cardiology,0
hair thinning sudden onset,Endocrinology,6
fatigue in the morning,General Medicine,13
severe headache,Neurology,1
menopause symptoms after eating,Gynecology,7
fever with fever,General Medicine,13
skin rash sudden onset,Dermatology,3
yellow eyes chronic,Gastroenterology,4
acne after eating,Dermatology,3
dengue symptoms worsening at night,General Medicine,13
hormonal imbalance mild to moderate,Gynecology,7
weakness mild to moderate,General Medicine,13
acid reflux with fever,Gastroenterology,4
fracture since 1 week,Orthopedics,2
fatigue after eating,Endocrinology,6
hair thinning with fever,Endocrinology,6
dialysis related in the morning,Nephrology,12
wheezing in the morning,Pulmonology,5
cold intolerance in the morning,Endocrinology,6
fracture with fever,Orthopedics,2
excessive sweating chronic,Endocrinology,6
hearing loss since 1 week,ENT,11
foamy urine since 1 week,Nephrology,12
vertigo after eating,ENT,11
tonsillitis with fever,ENT,11
vertigo with fever,ENT,11
foamy urine since 2 days,Nephrology,12
nail discoloration after eating,Dermatology,3
kidney pain after eating,Nephrology,12
smoking related cough sudden onset,Pulmonology,5
excessive sweating,Endocrinology,6
cold intolerance worsening at night,Endocrinology,6
suicidal thoughts worsening at night,Psychiatry,9
insomnia since 1 week,Psychiatry,9
watery eyes after eating,Ophthalmology,10
boil on skin worsening at night,Dermatology,3
weakness with fever,General Medicine,13
glaucoma symptoms with fever,Ophthalmology,10
OCD symptoms,Psychiatry,9
asthma attack since 1 week,Pulmonology,5
constipation,Gastroenterology,4
insulin resistance,Endocrinology,6
dengue symptoms mild to moderate,General Medicine,13
smoking related cough chronic,Pulmonology,5
breathlessness on exertion mild to moderate,Cardiology,0
squinting chronic,Ophthalmology,10
anxiety since 2 days,Psychiatry,9
back pain in the morning,Orthopedics,2
swollen wrist,Orthopedics,2
stress after eating,Psychiatry,9
stomach pain since 2 days,Gastroenterology,4
dizziness chronic,Neurology,1
shortness of breath chronic,Cardiology,0
irregular heartbeat mild to moderate,Cardiology,0
phobia chronic,Psychiatry,9
memory loss after eating,Neurology,1
hair thinning,Endocrinology,6
breathlessness at night mild to moderate,Pulmonology,5
swollen ankles after eating,Cardiology,0
child ear pain worsening at night,Pediatrics,8
cough for 3 weeks sudden onset,Pulmonology,5
anxiety sudden onset,Psychiatry,9
nail discoloration worsening at night,Dermatology,3
irregular periods worsening at night,Gynecology,7
joint swelling,Orthopedics,2
kidney pain since 2 days,Nephrology,12
menstrual cramps chronic,Gynecology,7
palpitations in the morning,Cardiology,0
diarrhea with fever,Gastroenterology,4
runny nose with fever,ENT,11
diabetes symptoms since 1 week,Endocrinology,6
bone pain mild to moderate,Orthopedics,2
difficulty swallowing in the morning,Gastroenterology,4
child ear pain in the morning,Pediatrics,8
OCD symptoms chronic,Psychiatry,9
fatigue in the morning,Endocrinology,6
ear pain since 2 days,ENT,11
frequent chest infections,Pulmonology,5
child ear pain worsening at night,Pediatrics,8
back pain since 2 days,Orthopedics,2
panic attacks mild to moderate,Psychiatry,9
liver pain sudden onset,Gastroenterology,4
PCOD symptoms chronic,Gynecology,7
severe headache,Neurology,1
hair thinning worsening at night,Endocrinology,6
joint swelling since 2 days,Orthopedics,2
sore throat,ENT,11
knee pain,Orthopedics,2
vision blurring suddenly worsening at night,Neurology,1
irregular periods with fever,Gynecology,7
smoking related cough with fever,Pulmonology,5
shoulder stiffness with fever,Orthopedics,2
severe headache with fever,Neurology,1
malaria symptoms worsening at night,General Medicine,13
weakness on one side since 1 week,Neurology,1
eczema flare sudden onset,Dermatology,3
foamy urine since 2 days,Nephrology,12
typhoid symptoms with fever,General Medicine,13
fever since 1 week,General Medicine,13
red eye with fever,Ophthalmology,10
heart racing after eating,Cardiology,0
eczema flare since 1 week,Dermatology,3
difficulty swallowing worsening at night,Gastroenterology,4
joint swelling after eating,Orthopedics,2
numbness in face with fever,Neurology,1
swollen ankles sudden onset,Cardiology,0
watery eyes since 2 days,Ophthalmology,10
anxiety worsening at night,Psychiatry,9
breathlessness on exertion chronic,Cardiology,0
neck stiffness,Orthopedics,2
thyroid swelling after eating,Endocrinology,6
infant not feeding since 1 week,Pediatrics,8
difficulty swallowing since 1 week,Gastroenterology,4
palpitations since 1 week,Cardiology,0
hormonal imbalance in the morning,Gynecology,7
fatigue mild to moderate,Endocrinology,6
sudden weight gain,Endocrinology,6
joint swelling mild to moderate,Orthopedics,2
smoking related cough worsening at night,Pulmonology,5
child ear pain worsening at night,Pediatrics,8
menopause symptoms since 2 days,Gynecology,7
watery eyes worsening at night,Ophthalmology,10
swollen ankles sudden onset,Cardiology,0
menopause symptoms since 2 days,Gynecology,7
TB symptoms worsening at night,Pulmonology,5
blurry vision chronic,Ophthalmology,10
infant not feeding in the morning,Pediatrics,8
floaters in vision chronic,Ophthalmology,10
nausea mild to moderate,Gastroenterology,4
liver pain sudden onset,Gastroenterology,4
weakness since 1 week,General Medicine,13
memory loss with fever,Neurology,1
menopause symptoms since 2 days,Gynecology,7
vertigo in the morning,ENT,11
breathlessness on exertion after eating,Cardiology,0
heart racing mild to moderate,Cardiology,0
pregnancy symptoms chronic,Gynecology,7
nasal congestion since 2 days,ENT,11
hair thinning since 1 week,Endocrinology,6
vertigo after eating,ENT,11
loss of appetite since 2 days,General Medicine,13
hormonal imbalance with fever,Gynecology,7
OCD symptoms mild to moderate,Psychiatry,9
ear pain in the morning,ENT,11
bone pain with fever,Orthopedics,2
frequent UTI after eating,Nephrology,12
insulin resistance after eating,Endocrinology,6
cataract mild to moderate,Ophthalmology,10
acne since 1 week,Dermatology,3
TB symptoms mild to moderate,Pulmonology,5
OCD symptoms chronic,Psychiatry,9
slurred speech since 1 week,Neurology,1
fracture with fever,Orthopedics,2
runny nose sudden onset,ENT,11
asthma attack sudden onset,Pulmonology,5
hearing loss chronic,ENT,11
memory loss since 1 week,Neurology,1
health certificate mild to moderate,General Medicine,13
nasal congestion after eating,ENT,11
child vomiting mild to moderate,Pediatrics,8
fatigue since 2 days,General Medicine,13
chest pain with fever,Cardiology,0
acid reflux since 1 week,Gastroenterology,4
hair loss in the morning,Dermatology,3
watery eyes after eating,Ophthalmology,10
excessive sweating after eating,Endocrinology,6
eye pain with fever,Ophthalmology,10
TB symptoms with fever,Pulmonology,5
cold and cough since 2 days,General Medicine,13
insulin resistance,Endocrinology,6
child rash chronic,Pediatrics,8
difficulty swallowing since 2 days,Gastroenterology,4
vaginal discharge chronic,Gynecology,7
hearing loss since 1 week,ENT,11
nasal congestion,ENT,11
chest pain chronic,Cardiology,0
nail discoloration in the morning,Dermatology,3
vaccination mild to moderate,Pediatrics,8
vomiting after eating,Gastroenterology,4
neck stiffness since 2 days,Orthopedics,2
dialysis related,Nephrology,12
blood in stool in the morning,Gastroenterology,4
heart racing chronic,Cardiology,0
acne since 1 week,Dermatology,3
dizziness while climbing stairs chronic,Cardiology,0
boil on skin after eating,Dermatology,3
back pain mild to moderate,Orthopedics,2
glaucoma symptoms chronic,Ophthalmology,10
watery eyes since 1 week,Ophthalmology,10
nausea worsening at night,Gastroenterology,4
child fever after eating,Pediatrics,8
child rash mild to moderate,Pediatrics,8
diabetes symptoms chronic,Endocrinology,6
darkening of skin,Dermatology,3
irregular periods worsening at night,Gynecology,7
sore throat since 2 days,ENT,11
runny nose in the morning,ENT,11
infant not feeding worsening at night,Pediatrics,8
panic attacks worsening at night,Psychiatry,9
hip pain while walking after eating,Orthopedics,2
sinusitis with fever,ENT,11
floaters in vision since 1 week,Ophthalmology,10
sudden weight gain,Endocrinology,6
dengue symptoms with fever,General Medicine,13
ear pain mild to moderate,ENT,11
depression with fever,Psychiatry,9
coughing blood,Pulmonology,5
neck stiffness after eating,Orthopedics,2
acid reflux sudden onset,Gastroenterology,4
coughing blood since 1 week,Pulmonology,5
diabetes symptoms after eating,Endocrinology,6
coughing blood worsening at night,Pulmonology,5
vaccination after eating,Pediatrics,8
diabetes symptoms since 2 days,Endocrinology,6
breathlessness at night worsening at night,Pulmonology,5
thyroid swelling since 1 week,Endocrinology,6
child ear pain in the morning,Pediatrics,8
shoulder stiffness chronic,Orthopedics,2
mood swings sudden onset,Psychiatry,9
joint swelling sudden onset,Orthopedics,2
child vomiting in the morning,Pediatrics,8
ear pain since 2 days,ENT,11
smoking related cough in the morning,Pulmonology,5
smoking related cough after eating,Pulmonology,5
frequent urination after eating,Endocrinology,6
foamy urine since 2 days,Nephrology,12
difficulty swallowing worsening at night,Gastroenterology,4
chest tightness at rest since 1 week,Cardiology,0
chest pain in the morning,Cardiology,0
suicidal thoughts after eating,Psychiatry,9
chest pain in the morning,Cardiology,0
red eye mild to moderate,Ophthalmology,10
seizures sudden onset,Neurology,1
palpitations sudden onset,Cardiology,0
suicidal thoughts since 2 days,Psychiatry,9
insomnia chronic,Psychiatry,9
bone pain,Orthopedics,2
boil on skin since 1 week,Dermatology,3
kidney pain mild to moderate,Nephrology,12
hormonal imbalance,Gynecology,7
blood in urine worsening at night,Nephrology,12
watery eyes after eating,Ophthalmology,10
menstrual cramps in the morning,Gynecology,7
stress with fever,Psychiatry,9
child fever sudden onset,Pediatrics,8
hip pain while walking after eating,Orthopedics,2
sudden weight gain since 1 week,Endocrinology,6
bloating sudden onset,Gastroenterology,4
depression,Psychiatry,9
nail discoloration sudden onset,Dermatology,3
hearing loss in the morning,ENT,11
breathlessness on exertion with fever,Cardiology,0
child fever,Pediatrics,8
weakness worsening at night,General Medicine,13
swollen wrist chronic,Orthopedics,2
breathlessness at night mild to moderate,Pulmonology,5
TB symptoms since 1 week,Pulmonology,5
memory loss mild to moderate,Neurology,1
cataract with fever,Ophthalmology,10
typhoid symptoms chronic,General Medicine,13
dengue symptoms after eating,General Medicine,13
heart racing since 2 days,Cardiology,0
blood in stool in the morning,Gastroenterology,4
kidney pain since 2 days,Nephrology,12
pregnancy symptoms sudden onset,Gynecology,7
hearing loss sudden onset,ENT,11
acne chronic,Dermatology,3
palpitations after eating,Cardiology,0
asthma attack,Pulmonology,5
health certificate since 1 week,General Medicine,13
sudden weight gain with fever,Endocrinology,6
body ache in the morning,General Medicine,13
hip pain while walking in the morning,Orthopedics,2
seizures after eating,Neurology,1
childhood asthma sudden onset,Pediatrics,8
typhoid symptoms with fever,General Medicine,13
chest tightness at rest after eating,Cardiology,0
OCD symptoms with fever,Psychiatry,9
phobia after eating,Psychiatry,9
heart racing,Cardiology,0
swollen face in morning with fever,Nephrology,12
vaginal discharge chronic,Gynecology,7
irregular periods,Gynecology,7
chest congestion after eating,Pulmonology,5
nail discoloration worsening at night,Dermatology,3
blurry vision mild to moderate,Ophthalmology,10
fainting mild to moderate,Neurology,1
pregnancy symptoms sudden onset,Gynecology,7
phobia in the morning,Psychiatry,9
child rash since 1 week,Pediatrics,8
OCD symptoms sudden onset,Psychiatry,9
decreased urine output after eating,Nephrology,12
coughing blood in the morning,Pulmonology,5
allergic skin reaction in the morning,Dermatology,3
insomnia worsening at night,Psychiatry,9
nausea chronic,Gastroenterology,4
loss of appetite sudden onset,General Medicine,13
asthma attack worsening at night,Pulmonology,5
swollen face in morning since 1 week,Nephrology,12
weakness on one side chronic,Neurology,1
yellow eyes worsening at night,Gastroenterology,4
typhoid symptoms,General Medicine,13
irregular periods since 2 days,Gynecology,7
difficulty swallowing with fever,Gastroenterology,4
ear pain,ENT,11
back pain since 2 days,Orthopedics,2
panic attacks mild to moderate,Psychiatry,9
fracture,Orthopedics,2
depression after eating,Psychiatry,9
irregular heartbeat sudden onset,Cardiology,0
heart racing mild to moderate,Cardiology,0
hormonal imbalance worsening at night,Gynecology,7
body ache sudden onset,General Medicine,13
cataract after eating,Ophthalmology,10
mood swings chronic,Psychiatry,9
snoring,ENT,11
typhoid symptoms with fever,General Medicine,13
breathlessness at night chronic,Pulmonology,5
yellow eyes chronic,Gastroenterology,4
swollen ankles,Cardiology,0
anxiety in the morning,Psychiatry,9
wheezing sudden onset,Pulmonology,5
OCD symptoms worsening at night,Psychiatry,9
excessive sweating with fever,Endocrinology,6
floaters in vision since 2 days,Ophthalmology,10
general checkup sudden onset,General Medicine,13
darkening of skin,Dermatology,3
allergic skin reaction sudden onset,Dermatology,3
fainting after eating,Neurology,1
memory loss after eating,Neurology,1
sinusitis sudden onset,ENT,11
fever,General Medicine,13
darkening of skin chronic,Dermatology,3
shortness of breath since 1 week,Cardiology,0
fatigue worsening at night,Endocrinology,6
dizziness while climbing stairs,Cardiology,0
blood in stool after eating,Gastroenterology,4
severe headache after eating,Neurology,1
hormonal imbalance since 2 days,Gynecology,7
menstrual cramps mild to moderate,Gynecology,7
pelvic pain,Gynecology,7
breast lump worsening at night,Gynecology,7
phobia worsening at night,Psychiatry,9
malaria symptoms since 2 days,General Medicine,13
menopause symptoms,Gynecology,7
menstrual cramps with fever,Gynecology,7
vaccination mild to moderate,Pediatrics,8
blood in urine since 2 days,Nephrology,12
eye pain chronic,Ophthalmology,10
acid reflux in the morning,Gastroenterology,4
watery eyes,Ophthalmology,10
child fever sudden onset,Pediatrics,8
runny nose since 2 days,ENT,11
hair thinning,Endocrinology,6
red eye sudden onset,Ophthalmology,10
infant not feeding,Pediatrics,8
yellow eyes since 1 week,Gastroenterology,4
ear pain after eating,ENT,11
cold intolerance in the morning,Endocrinology,6
kidney pain in the morning,Nephrology,12
child fever sudden onset,Pediatrics,8
numbness in face sudden onset,Neurology,1
fever in the morning,General Medicine,13
irregular heartbeat worsening at night,Cardiology,0
bone pain since 1 week,Orthopedics,2
watery eyes chronic,Ophthalmology,10
dialysis related since 1 week,Nephrology,12
squinting with fever,Ophthalmology,10
bone pain in the morning,Orthopedics,2
tonsillitis with fever,ENT,11
memory loss worsening at night,Neurology,1
menstrual cramps since 2 days,Gynecology,7
frequent UTI after eating,Nephrology,12
glaucoma symptoms sudden onset,Ophthalmology,10
red eye since 1 week,Ophthalmology,10
menopause symptoms mild to moderate,Gynecology,7
sudden weight gain since 1 week,Endocrinology,6
breast lump chronic,Gynecology,7
floaters in vision in the morning,Ophthalmology,10
eye pain with fever,Ophthalmology,10
cold intolerance after eating,Endocrinology,6
fainting since 1 week,Neurology,1
nail discoloration in the morning,Dermatology,3
wheezing,Pulmonology,5
memory loss chronic,Neurology,1
boil on skin with fever,Dermatology,3
swollen face in morning after eating,Nephrology,12
diarrhea since 2 days,Gastroenterology,4
allergic skin reaction mild to moderate,Dermatology,3
phobia worsening at night,Psychiatry,9
chest tightness at rest chronic,Cardiology,0
excessive sweating sudden onset,Endocrinology,6
snoring sudden onset,ENT,11
newborn jaundice,Pediatrics,8
nail discoloration after eating,Dermatology,3
panic attacks worsening at night,Psychiatry,9
acid reflux with fever,Gastroenterology,4
severe headache since 1 week,Neurology,1
vomiting,Gastroenterology,4
back pain chronic,Orthopedics,2
menstrual cramps since 1 week,Gynecology,7
blurry vision,Ophthalmology,10
TB symptoms in the morning,Pulmonology,5
fatigue chronic,Endocrinology,6
chest pain,Cardiology,0
newborn jaundice worsening at night,Pediatrics,8
schizophrenia symptoms,Psychiatry,9
eye pain after eating,Ophthalmology,10
child ear pain since 2 days,Pediatrics,8
cataract since 1 week,Ophthalmology,10
OCD symptoms in the morning,Psychiatry,9
blood in urine worsening at night,Nephrology,12
decreased urine output,Nephrology,12
depression since 1 week,Psychiatry,9
general checkup in the morning,General Medicine,13
vaccination sudden onset,Pediatrics,8
OCD symptoms since 1 week,Psychiatry,9
cough for 3 weeks in the morning,Pulmonology,5
increased thirst worsening at night,Endocrinology,6
darkening of skin mild to moderate,Dermatology,3
asthma attack since 2 days,Pulmonology,5
seizures in the morning,Neurology,1
cold intolerance after eating,Endocrinology,6
TB symptoms after eating,Pulmonology,5
shoulder stiffness in the morning,Orthopedics,2
eczema flare after eating,Dermatology,3
sore throat chronic,ENT,11
diarrhea sudden onset,Gastroenterology,4
hearing loss chronic,ENT,11
vaccination worsening at night,Pediatrics,8
fracture in the morning,Orthopedics,2
thyroid swelling mild to moderate,Endocrinology,6
swollen face in morning worsening at night,Nephrology,12
eye pain worsening at night,Ophthalmology,10
